Case_ID	Project	B2M	HLA-C	HLA-A	HLA-B
22BR005	Breast_Cancer	1674.7321	406.6319	504.5455	984.949
17OV028	Ovarian_Cancer	799.0006	549.5264	328.8677	628.3962
05BR001	Breast_Cancer	3201.8461	1161.5454	746.1992	2276.2528
11CO010	Colon_Cancer	2128.4284	1920.8465	1762.2335	2502.945
18BR002	Breast_Cancer	2810.9391	1285.086	1178.7106	1589.8886
11CO053	Colon_Cancer	1718.2442	927.824	790.2973	1903.925
04OV028	Ovarian_Cancer	1365.7138	686.9962	495.5991	934.3592
04OV011	Ovarian_Cancer	136.5795	143.413	98.7077	137.4969
17OV018	Ovarian_Cancer	2793.0847	862.8319	1010.9629	1646.7147
17OV025	Ovarian_Cancer	2369.9462	436.4717	608.3525	527.0261
15OV001	Ovarian_Cancer	3117.6814	1758.9665	1841.4165	3252.3634
11CO059	Colon_Cancer	4614.0182	1061.636	1057.9089	1377.5491
04OV058	Ovarian_Cancer	1423.7475	592.8365	560.7697	1015.4859
01OV049	Ovarian_Cancer	3725.6614	607.1327	911.1575	931.3855
05CO028	Colon_Cancer	2296.8025	449.6234	607.4552	1306.1668
04OV039	Ovarian_Cancer	1005.4198	1016.9411	541.7282	879.593
11BR038	Breast_Cancer	1391.2228	807.7799	517.2349	1056.5682
20BR005	Breast_Cancer	1155.9134	226.2784	173.6761	353.7598
01CO006	Colon_Cancer	1883.8002	689.4739	652.4578	1379.3206
16CO003	Colon_Cancer	1490.6892	1111.3784	801.2542	1776.367
02OV015	Ovarian_Cancer	1188.6041	563.5595	696.6087	1069.0679
17OV010	Ovarian_Cancer	1339.3639	318.6584	509.3091	506.4908
04OV037	Ovarian_Cancer	1360.4129	462.2759	356.1364	562.6353
05BR016	Breast_Cancer	491.8423	633.5122	111.4616	277.0613
09CO015	Colon_Cancer	1427.743	862.1085	543.9163	953.116
22CO004	Colon_Cancer	1969.3661	1083.1316	778.9709	1530.7183
05BR029	Breast_Cancer	804.335	502.9374	760.2755	730.1151
26OV010	Ovarian_Cancer	944.4498	278.1575	376.9076	505.8192
11CO061	Colon_Cancer	4703.7793	753.6016	461.291	1187.5059
04OV044	Ovarian_Cancer	2737.1963	1135.9121	1268.7988	1483.4883
21BR001	Breast_Cancer	1204.9611	1162.3022	919.3623	1766.2247
17OV002	Ovarian_Cancer	1109.537	765.9866	330.0726	426.4373
04OV027	Ovarian_Cancer	1904.1948	1760.3123	1122.7196	1694.337
04OV045	Ovarian_Cancer	1550.697	753.7239	598.2486	805.7981
02OV044	Ovarian_Cancer	752.4508	225.2849	165.9386	173.06
